age,sex_new,breed_new,likes_people_new,coat_new,size_new,month_found_new
0.83,0,0,0,1,1,05
2.42,0,1,0,0,1,06
2.5,1,0,0,0,1,06
7.42,0,0,0,0,1,06
3.67,1,0,0,0,1,04
2.58,0,0,0,0,1,05
1.0,1,0,0,0,1,05
3.58,1,0,0,2,1,05
1.42,1,1,0,0,1,06
2.42,0,1,0,3,0,06
8.08,1,1,0,0,1,06
4.42,0,1,0,0,1,06
6.17,0,0,0,2,1,06
1.0,1,0,0,0,1,06
1.42,1,0,0,0,0,05
4.58,0,0,0,0,1,05
5.33,0,1,0,1,0,04
3.0,1,1,0,0,0,01
2.5,1,0,0,0,1,05
1.42,0,0,0,0,1,05
1.33,0,1,0,0,1,05
0.92,0,0,0,1,1,03
7.92,0,1,0,1,0,05
4.08,0,1,0,3,1,01
0.92,1,0,0,1,1,03
2.5,0,0,0,0,1,05
1.33,0,0,0,0,1,05
9.5,1,1,0,0,0,05
1.67,1,0,0,0,1,04
8.5,0,1,0,2,1,05
0.83,1,0,0,0,1,02
1.08,0,1,0,0,1,04
11.17,1,0,0,0,1,12
11.75,1,0,0,1,1,11
11.75,1,0,0,0,1,10
2.58,0,0,0,0,1,04
10.33,1,0,0,0,0,10
2.58,0,0,0,2,1,12
7.92,1,0,0,1,1,10
7.75,0,1,0,2,1,10
9.17,0,0,0,3,1,10
1.58,1,1,0,0,1,05
1.75,0,0,0,1,1,04
11.92,1,1,0,0,1,08
3.58,0,0,0,0,1,05
7.58,1,1,0,0,1,04
7.17,1,1,0,0,0,10
11.92,0,0,0,1,1,10
9.75,1,1,0,0,2,03
1.67,0,1,0,0,0,04
1.92,0,1,0,0,0,01
2.42,0,0,0,0,1,10
3.67,0,0,0,1,1,04
1.0,0,0,0,0,1,01
1.92,1,0,0,0,1,03
11.67,0,1,0,1,2,04
4.75,1,0,0,0,1,12
0.92,0,1,0,0,1,11
5.83,1,0,0,0,1,01
4.58,0,1,0,1,1,03
1.5,0,1,0,0,0,01
1.42,1,0,0,0,0,01
1.83,0,0,0,0,1,01
1.42,1,1,0,0,1,07
13.08,0,1,0,1,0,05
1.75,1,0,0,0,1,02
4.75,0,1,0,0,1,03
2.42,0,0,0,3,1,07
1.75,1,1,0,0,0,02
1.42,0,0,0,0,1,07
5.08,0,0,0,1,2,01
3.75,0,0,0,0,0,02
1.75,0,1,0,0,0,02
8.92,1,0,0,0,1,09
7.08,0,1,0,2,1,11
8.83,1,1,0,0,0,12
6.0,0,0,0,0,1,12
1.75,0,0,0,0,1,02
4.42,1,1,0,0,1,05
4.92,1,0,0,0,0,09
2.25,0,0,0,3,1,12
1.75,1,0,0,0,1,02
9.58,1,1,0,2,1,05
4.92,1,1,0,0,1,12
4.83,0,1,0,0,1,01
1.75,0,0,0,0,1,01
1.0,0,0,0,0,0,01
9.17,1,1,0,0,1,11
6.25,0,0,0,0,1,01
4.67,0,1,0,0,0,03
3.33,1,1,0,2,1,08
1.83,0,0,0,0,0,10
9.92,0,1,0,0,1,01
7.83,0,1,0,0,2,01
2.25,0,1,0,0,1,01
8.92,1,0,0,0,1,01
8.92,0,1,0,0,0,06
2.0,1,0,0,0,1,12
3.92,1,1,0,0,1,07
7.08,1,1,0,0,1,08
5.17,1,1,0,1,2,12
8.42,0,1,0,1,1,12
1.92,1,0,0,0,2,10
1.92,0,0,0,0,1,12
1.08,0,0,0,0,0,07
1.67,1,1,0,0,1,12
3.42,1,0,0,0,1,02
1.0,0,1,0,3,1,01
6.67,0,1,0,0,2,08
2.17,0,1,0,1,1,08
2.0,1,1,0,0,1,12
5.67,1,1,0,0,1,12
2.5,0,1,0,0,1,12
1.58,0,0,0,0,1,11
2.17,1,1,0,0,1,09
7.83,0,0,0,0,1,07
2.08,1,0,0,0,1,08
9.5,0,1,0,0,0,07
3.08,1,0,0,3,2,11
7.5,0,1,0,0,1,09
3.58,0,1,0,0,0,09
4.0,1,1,0,0,1,11
1.33,1,1,0,0,1,10
1.33,1,1,0,0,1,10
2.5,0,0,0,0,1,04
9.58,0,1,0,0,0,05
13.5,0,1,0,0,0,04
1.5,1,1,0,0,0,05
5.33,0,0,0,0,1,08
3.25,1,1,0,0,1,09
3.75,0,1,0,1,1,01
5.83,1,0,0,0,1,08
2.92,1,0,0,0,0,05
5.5,0,1,0,0,2,05
2.25,0,1,0,0,1,08
2.75,1,1,0,0,0,08
1.33,0,0,0,0,0,07
2.92,1,1,0,0,2,04
4.67,1,1,0,0,1,12
9.17,0,1,0,0,1,08
2.5,1,1,0,0,1,03
5.25,1,1,0,1,1,08
2.17,1,0,0,0,1,02
2.67,0,0,0,1,0,12
7.92,0,1,0,0,0,02
5.5,1,1,0,0,2,01
2.25,1,0,0,0,0,02
14.33,0,0,0,3,1,05
5.75,0,1,0,2,1,04
2.0,1,0,0,0,1,04
2.17,0,0,0,0,1,02
10.25,0,0,0,0,1,10
3.75,0,1,0,1,1,07
3.92,0,0,0,0,1,01
2.67,0,0,0,0,0,02
2.0,0,0,0,0,1,04
2.67,0,1,0,1,0,05
2.25,0,0,0,0,1,06
4.5,0,1,0,1,1,10
13.0,0,0,0,1,1,10
4.5,0,1,0,1,1,10
3.83,0,1,0,0,1,05
8.25,0,0,0,0,1,04
8.33,0,0,0,0,1,12
11.42,0,1,0,1,1,11
6.25,0,0,0,0,1,12
5.42,1,0,0,0,0,12
5.33,0,0,0,0,1,05
8.75,1,1,0,0,0,05
3.5,0,0,0,0,0,08
12.42,1,0,0,0,1,05
11.33,0,0,0,0,2,05
4.42,1,0,0,0,0,08
10.83,0,0,0,0,1,10
5.33,0,1,0,0,2,02
6.5,0,1,0,0,2,06
11.42,1,1,0,1,1,11
1.5,1,1,0,0,1,05
5.17,1,0,0,0,2,07
8.42,0,1,0,3,1,07
6.67,0,1,0,1,1,01
6.75,0,1,0,0,1,03
5.0,1,0,0,1,0,06
1.58,1,0,0,0,1,06
5.17,0,1,0,0,1,09
8.58,1,1,0,1,1,03
2.33,0,1,0,0,1,03
2.5,0,0,0,0,1,06
1.83,0,1,0,0,2,06
3.17,0,1,0,0,1,03
10.17,0,1,0,0,1,11
4.5,0,1,0,1,1,04
2.42,1,0,0,0,1,06
2.58,0,0,0,0,1,04
6.67,0,1,0,0,2,04
2.33,0,0,0,0,1,04
4.75,1,1,0,1,1,06
3.58,1,0,0,0,1,04
3.33,0,0,0,3,1,09
7.08,0,1,0,2,2,11
3.08,0,0,0,0,1,12
2.67,0,1,0,0,1,04
4.5,0,1,0,1,1,03
3.0,0,1,0,1,0,04
2.42,0,1,0,0,1,04
3.08,0,0,0,0,1,04
1.92,0,0,0,0,1,03
3.58,1,1,0,0,0,04
13.58,0,1,0,1,1,05
3.67,1,0,0,0,1,04
4.58,0,1,0,0,1,04
5.75,0,1,0,1,2,02
8.42,1,1,0,2,1,01
2.83,0,0,0,0,1,10
2.5,1,0,0,0,1,01
11.92,1,1,0,0,0,12
2.17,1,1,0,0,1,02
2.92,1,0,0,0,1,12
11.92,0,1,0,1,1,01
3.25,1,0,0,1,1,01
9.75,1,1,0,0,1,02
3.75,1,0,0,0,1,01
2.17,1,0,0,1,1,11
5.0,0,1,0,0,1,11
2.67,0,1,0,0,2,05
2.58,1,1,0,0,2,11
5.42,0,0,0,0,1,06
7.75,1,1,0,0,1,12
2.67,0,0,0,0,1,12
13.5,1,1,0,1,1,12
5.08,0,1,1,3,0,10
6.58,1,0,0,0,1,07
2.33,1,1,0,0,1,09
3.17,1,0,0,0,1,10
12.0,1,1,0,0,0,12
17.0,1,1,0,0,0,12
6.67,1,0,0,0,1,02
2.58,0,1,0,1,2,11
2.58,0,1,0,0,1,07
3.33,0,0,0,0,1,08
4.33,1,1,0,0,0,06
2.58,1,1,0,0,1,09
7.08,1,1,0,0,1,05
2.58,0,0,0,0,1,07
3.75,0,1,0,0,1,08
5.83,0,1,0,1,1,09
2.58,0,1,0,0,1,06
6.42,0,0,0,1,1,07
6.42,1,0,0,0,1,05
3.75,0,0,0,1,0,06
8.58,0,1,0,0,2,06
2.58,1,1,0,0,0,06
4.17,1,0,0,0,2,09
4.67,1,1,0,1,1,03
5.58,0,0,0,0,0,04
4.42,1,1,0,0,0,07
3.25,1,0,0,0,1,03
8.67,1,1,0,0,2,05
7.58,0,1,0,1,2,03
4.17,1,1,0,1,1,02
7.58,1,1,0,0,1,04
4.67,1,0,0,1,0,03
5.67,1,0,0,1,0,03
3.67,1,1,0,0,1,03
3.42,0,0,0,0,1,06
2.67,0,0,0,0,1,07
3.67,0,0,0,0,0,03
3.67,0,1,0,0,0,02
5.75,0,0,0,0,2,02
9.58,0,1,0,1,2,03
10.75,0,0,0,0,1,01
4.67,0,0,0,0,1,03
3.08,1,0,0,0,0,03
4.67,1,0,0,0,0,03
4.67,0,1,0,0,1,07
3.67,0,0,0,1,0,03
3.67,0,1,0,0,0,02
3.75,1,0,0,1,0,12
3.5,0,0,0,0,1,11
3.67,0,0,0,0,1,02
3.5,1,1,0,0,1,03
5.75,1,0,0,0,1,02
3.67,0,0,0,0,1,02
3.67,0,1,0,0,0,02
3.0,1,0,0,0,1,02
4.67,0,0,0,0,1,09
4.83,0,1,0,2,1,07
5.5,0,1,0,0,1,02
3.67,0,1,0,1,2,02
3.67,0,0,0,0,2,02
3.75,1,1,0,0,1,03
10.17,1,1,0,1,2,02
4.83,0,1,0,1,2,02
3.83,1,0,0,1,1,02
3.83,0,0,0,2,0,02
5.33,1,1,0,2,0,02
3.83,0,1,0,1,1,02
10.0,1,0,0,0,0,02
5.83,0,0,0,0,1,02
10.83,0,1,0,2,1,01
4.75,1,0,0,1,0,03
8.17,0,0,0,0,1,11
6.75,0,1,0,0,1,08
3.17,0,0,0,0,0,02
11.0,0,0,0,0,1,02
5.92,0,1,0,1,1,01
8.83,0,1,0,1,1,10
4.83,0,1,0,0,1,01
4.92,0,1,0,0,1,01
4.92,0,0,0,0,1,01
4.92,1,0,0,0,1,12
4.92,0,1,0,0,0,12
4.42,0,1,0,0,1,12
13.08,0,1,0,1,1,11
3.92,0,1,0,0,2,01
4.17,1,1,0,0,1,09
8.0,0,1,0,1,2,11
4.83,1,1,0,0,0,02
5.0,0,1,0,0,1,12
5.5,0,0,0,0,2,05
5.92,0,0,0,1,1,12
4.92,0,1,0,0,1,12
5.0,1,1,0,0,1,11
3.5,0,0,0,1,0,10
4.58,0,1,0,0,0,11
6.83,1,1,0,0,1,04
3.25,1,0,0,1,1,10
3.25,1,1,0,1,1,10
3.75,1,0,0,0,0,10
4.0,0,0,0,3,1,10
3.92,1,1,0,1,1,11
3.17,1,0,0,0,1,10
6.08,0,1,0,1,1,03
5.08,0,0,0,0,1,10
7.58,1,1,0,0,2,09
9.17,1,1,0,0,0,05
4.08,0,1,0,1,2,08
11.83,0,1,0,0,2,09
5.0,0,0,0,3,1,11
11.08,0,1,0,0,2,05
4.83,1,0,0,0,0,06
5.67,0,1,0,0,0,09
14.0,1,1,0,1,2,03
3.42,0,1,0,0,1,08
3.67,0,1,0,2,0,09
4.58,1,1,0,0,1,06
4.92,1,0,0,3,2,06
4.42,0,0,0,0,1,07
4.08,0,1,0,1,0,04
3.92,0,1,0,0,1,06
3.92,1,0,0,1,1,06
3.58,0,1,0,0,1,05
5.42,1,1,0,1,1,11
11.83,0,1,0,0,1,03
4.42,1,0,0,0,1,07
4.33,1,1,0,0,1,05
4.42,1,0,0,0,1,01
5.83,0,1,0,1,0,12
5.5,1,1,0,0,0,05
3.83,0,1,0,1,1,06
4.33,0,0,0,0,0,07
5.83,0,1,0,1,2,05
9.5,1,1,0,1,1,05
4.58,1,1,0,0,1,02
9.08,1,0,0,0,1,11
11.58,0,1,0,0,1,05
5.92,0,0,0,0,2,01
11.75,0,0,0,3,1,03
6.75,1,0,0,0,1,03
8.08,1,1,0,0,2,10
7.5,0,1,0,0,1,05
10.42,0,0,0,0,2,03
9.67,0,0,0,3,1,04
9.5,1,1,0,1,0,05
12.75,0,0,0,3,1,02
3.83,1,0,0,0,1,06
4.58,0,0,0,3,1,12
5.33,0,0,0,0,1,02
7.5,1,0,0,3,2,06
4.5,1,0,0,0,0,05
5.25,1,1,0,0,1,03
10.42,0,1,0,0,1,07
11.83,0,1,0,1,2,02
6.58,1,0,0,1,1,05
