principal_component_1,principal_component_2,class
-5.568316283,1.299923538,0
-5.667661481,3.348487751,0
-7.973970476,1.675461305,0
-7.973970476,1.675461305,0
-5.257740125,-3.813873737,0
1.275260988,-0.962367519,2
5.317481929,-0.885245342,2
-6.511416197,-3.106311433,0
-3.594865297,0.793457131,0
-5.858465753,1.221430638,0
-3.23150598,-6.354002933,0
-3.115929909,0.928158922,0
-5.152232913,-2.743714401,0
-2.594235351,-2.031451844,0
-6.553223041,-0.009996762,0
-6.104790025,0.117471289,0
-7.212942949,-1.240019696,0
-4.816585783,-3.678662832,0
-5.288068703,4.490361352,0
0.113215072,1.827792081,1
-4.985841406,-4.761376067,0
-3.650212567,0.793837067,0
-5.046677658,-5.827475172,0
-7.235649043,3.940730682,0
0.473657992,-4.295036575,0
-1.533550398,-5.885287856,0
-5.000111382,-5.813462798,0
5.919968588,0.307405685,2
-2.086681413,-2.925846912,0
-5.742162846,-3.944748368,0
-5.043933992,-5.829388752,0
0.613142289,4.027967925,1
-4.826648909,-0.570378545,0
-3.092200147,-6.328567411,0
-4.59275731,-5.703834281,0
-5.73941918,-3.946661948,0
-5.365863729,-2.792309616,0
-6.030293962,-1.952393046,0
-4.901701792,2.520615966,0
3.278056902,4.763494069,1
-4.901701792,2.520615966,0
-4.233545765,-2.482198209,0
0.281569,-2.286809308,0
-1.76821959,5.44593599,1
1.498879166,5.322342208,1
-3.772004456,4.893537032,0
-4.604837725,4.667788442,0
-2.797293832,-2.098355063,0
0.472930092,-1.18088237,2
-5.388313008,0.300218538,0
4.030171492,-0.213504648,2
3.013357192,-0.497662789,2
-4.504767214,0.546462427,0
1.171889992,4.18200225,1
-1.960434765,-4.96841203,0
-1.896734397,-0.801938024,0
1.4961355,5.324255788,1
-6.480913824,-3.099077693,0
-3.455386733,-0.203825175,0
-0.296406913,0.680245313,1
-0.418500303,-5.578519779,0
-0.888825778,-3.634589852,0
-3.398625388,-1.222187062,0
-6.678487561,-2.128415669,0
-4.006074518,1.729423789,0
0.887055709,-3.141480436,2
-5.146868618,-4.808437639,0
-5.789454435,-1.885998941,0
-6.395616764,-2.042179917,0
-4.337647807,-4.585353444,0
0.279001716,4.985180697,1
-3.306558863,-3.263008422,0
-5.86926675,-1.905331475,0
-5.180671477,-3.792627623,0
-1.201249209,-2.684664828,0
-5.421511004,-3.859021729,0
-3.600177312,-1.26682594,0
-4.220057034,-3.525137621,0
-5.740399227,1.241814631,0
-2.635912839,4.182165256,1
-6.82584966,4.051659773,0
-5.085184016,-3.754204257,0
-3.040701708,-4.22694582,0
-4.782098398,-3.668606795,0
-5.326023543,-3.820598363,0
-4.698992422,-3.659839412,0
-5.550630674,-4.93184546,0
-4.241774176,-3.517849872,0
5.174875609,0.112362892,2
-4.133354804,-3.501235743,0
-3.245170028,-3.24695329,0
-1.540144545,-4.851678951,0
1.280312535,-5.106656478,2
-6.534974878,2.057390871,0
-4.462912327,-6.703772351,0
1.665775213,6.408556675,1
-5.037892427,-5.812953685,0
-6.982730624,4.011081125,0
4.639129768,-4.184243562,2
-3.724713932,-6.499399052,0
2.264362037,-3.799884402,2
-3.258714691,-6.371801823,0
-7.423712237,2.853152392,0
-4.701559706,3.612150593,0
-5.320538798,-2.78303312,0
-7.005127623,2.97860297,0
-2.976448757,-1.110515787,0
-2.320925728,5.308336733,1
-7.220826485,3.942773439,0
3.234063211,6.840592144,1
-4.34168649,2.678017159,0
-2.127554172,0.163403841,0
-6.744755213,0.977100329,0
-6.210176787,2.149600434,0
1.742843862,6.429802789,1
6.559634405,7.757684901,1
-0.711566169,-4.632381271,0
-6.986704143,2.981880373,0
-5.96945771,-0.886293941,0
-5.521581514,0.262304286,0
-4.050969904,-1.390792759,0
-6.503915686,1.043494435,0
-1.105375578,-1.617161256,2
-5.978242941,-0.900815429,0
-5.108185878,0.388367871,0
-3.354578352,1.90989521,0
-5.703600555,-1.850231339,0
-2.263267989,0.124189016,0
-1.74997716,-1.806963183,0
-4.600079357,-1.55607117,0
0.107050469,-0.249539065,2
-5.736846594,-1.855551499,0
-4.950459151,1.458473198,0
-2.879674496,-4.179884248,0
-2.321099523,-3.003132095,0
-4.230124829,-0.402953483,0
-4.272108055,-4.576715238,0
0.456866188,-1.187661005,2
-0.043056361,-3.401736699,0
-3.095496396,-5.276609857,0
-0.357839368,-2.448310443,0
-2.918962099,-4.201639475,0
-1.955603991,-3.936063053,0
-3.858712419,-4.450651653,0
-4.903164975,-1.641668632,0
-5.891540711,-0.876913551,0
-3.895256356,-4.47432046,0
-3.62061397,-5.42373637,0
-1.56460959,-4.871391421,0
1.883659856,-2.870583855,2
3.487535736,-4.514680446,2
-2.901395875,-4.201510298,0
-4.466381306,-4.629096969,0
-2.934641913,-4.206830458,0
-3.956039263,-0.331239218,0
-3.879576542,-4.469129478,0
-3.62061397,-5.42373637,0
-6.197965952,4.229466798,0
-6.1553821,3.199264472,0
-3.598896829,-5.431024119,0
-4.022483297,-4.495799645,0
-1.597855629,-4.87671158,0
-3.598896829,-5.431024119,0
-3.62061397,-5.42373637,0
-4.247090428,-5.607046742,0
-4.496538803,1.58211409,0
-3.770542337,-0.278365026,0
-1.827166259,-4.930497778,0
-3.543929411,-5.404077909,0
-3.568394456,-5.423790379,0
-3.78164377,-4.429405539,0
2.715154629,-3.675917583,2
-2.426434005,-5.096009259,0
-3.431823383,-5.381427329,0
-3.443902276,-5.385383666,0
-1.992823548,-4.970583965,0
-3.420294486,-5.368819421,0
2.465913961,-3.755245524,2
-1.518043314,-4.857379046,0
3.604749243,-4.46853088,2
-2.841893451,-4.180393362,0
-1.656499732,4.439506365,1
-2.218111551,1.185097139,0
-4.111078255,-5.571046069,0
3.462518108,-3.484348942,2
-1.141018884,-5.777702096,0
-0.730361181,3.670561876,1
-2.206759037,-6.072371379,0
-2.120056807,-6.048469501,0
-2.128842038,-6.062990989,0
-5.056014407,4.54223397,0
-5.074987882,4.547608138,0
-5.526164564,4.422053666,0
3.098053626,5.763199069,1
-3.052912543,-6.306812184,0
-4.972176293,1.465760947,0
-1.765303193,4.421304582,1
-2.50586223,-5.11375414,0
-4.967416861,4.576087991,0
-2.603020582,-2.045973332,0
-4.074232818,4.811087795,0
-5.044485509,4.554841878,0
-4.704303372,3.614064173,0
-5.904347504,2.233284317,0
-5.136672484,3.493374757,0
-1.08035795,-2.64749276,0
-6.117428325,2.17603753,0
-6.108643094,2.190559018,0
-5.681931457,2.29640102,0
-5.360806449,2.383688232,0
-5.729050316,3.332432619,0
-6.210176787,2.149600434,0
-1.518595896,-3.807335072,0
-4.367419133,2.654937821,0
-1.65662277,2.378610287,1
0.877540497,-1.069340273,2
-4.744095515,0.488432812,0
2.440392858,3.505396502,1
-4.663305495,3.613202052,0
2.781302896,-0.549535407,2
-3.57807608,-1.272526036,0
-3.554897836,1.854978261,0
6.138959031,-1.694822487,2
-5.426094053,0.300727652,0
-5.450254425,1.334207381,0
-3.779628004,-1.317164914,0
-3.383329663,-1.218583732,0
-4.205664021,-0.412154812,0
-3.741671641,-3.381784259,0
-4.41270069,-1.494358933,0
-4.408549773,-1.501775859,0
-4.474385292,-2.548592315,0
-4.284013152,3.730797253,0
4.005033415,-2.285461626,2
-4.208407687,-0.410241232,0
-3.754610376,-2.347496418,0
-2.613264759,-6.19386562,0
-4.182652189,4.794473665,0
-2.657983762,-2.044005743,0
-4.483723105,-1.513069829,0
-4.322868623,-0.443290429,0
-2.260647361,-1.938620643,0
1.24163086,-0.969275332,2
-2.716199385,-5.172914506,0
-0.78258752,4.683094489,1
3.232479578,-0.423980935,2
-1.134981557,-5.790180827,0
3.966218977,-2.305656281,2
-0.900354675,-3.64719776,0
-1.44080087,3.475335896,1
-0.698021506,-1.507532739,2
2.668415623,-2.66721213,2
1.696576956,-1.894117841,2
1.211128487,-0.976509071,2
5.19543424,-3.004017256,2
-4.510931816,-1.530868719,0
-5.333773055,4.465597353,0
-1.999722368,-4.990167257,0
-0.897865743,-0.533396562,2
-3.630127101,-2.324103653,0
-2.336606607,-4.031040905,0
1.583269862,1.195825211,1
4.317072756,-3.236974302,2
-1.580160049,-1.759279973,0
0.623942221,-2.179456618,2
-1.159442365,-5.780979498,0
-2.350522802,1.150331111,0
1.029105209,-3.117958495,2
-3.315344094,-3.27752991,0
-1.860969117,-3.914687762,0
-0.363880933,-2.464745511,0
3.600718776,-1.358825473,2
-1.404307691,-2.751568047,0
1.29697813,-0.969655268,2
-3.065166753,-4.24665829,0
-3.226196553,-3.252327459,0
-3.402607812,-2.266401763,0
-3.144979068,-4.265990824,0
-4.452716193,1.598040044,0
-2.556454305,-2.031960958,0
-2.854829598,-4.187497924,0
2.659635694,6.681366837,1
0.724134246,6.135692505,1
1.687492354,6.401268927,1
0.785522015,-3.18243902,2
5.021847714,-2.001303485,2
2.659635694,6.681366837,1
2.700633571,6.680504716,1
4.57756668,7.197998194,1
2.700633571,6.680504716,1
0.197783166,-3.335342594,0
3.622993803,6.94694326,1
-1.327239042,-2.730321933,0
-1.398822946,-1.714002804,0
1.890254004,-3.90419276,2
-1.327239042,-2.730321933,0
-2.849344854,-3.149932681,0
3.856380862,-1.29038861,2
3.354947087,-3.512828795,2
-0.355095702,-2.450224023,0
1.734531796,6.416841874,1
-1.472591108,-2.758292673,0
-2.685017155,-4.125914864,0
2.33855791,0.358493744,2
-3.120213587,-3.221999953,0
-1.990816687,-1.873357288,0
0.389819878,-1.218563552,2
3.544518919,-1.375493612,2
-2.222693585,-2.961847584,0
-0.761601424,-2.571718264,0
6.62496432,-3.633561433,2
2.665119374,-1.615254576,2
-2.315057958,-2.986697027,0
-1.282943266,-2.712835407,0
-4.161113511,-3.510383062,0
-2.815541995,-4.165742697,0
-0.922455906,-3.641497664,0
1.00811338,-5.183432548,2
-2.215544268,-6.086892867,0
-0.073557669,5.925216218,1
4.953184875,-2.023515613,2
-0.269726235,5.862882343,1
2.949400009,-2.575914572,2
6.845797798,-1.500831153,2
-3.175481441,-4.273224563,0
0.370891858,-4.325717088,0
-1.83539467,-5.966149441,0
0.929162989,-5.213516707,2
-3.456841011,-4.351095825,0
-3.280988653,-5.343383899,0
-1.107391343,-4.729401881,0
-2.807064844,-6.244686779,0
-1.595111963,-4.87862516,0
-3.545987487,4.95788838,1
1.669247795,-5.014205212,2
2.610031507,-4.744489267,2
-5.526164564,4.422053666,0
-2.240005075,-6.077691538,0
-2.891880663,-6.273650462,0
3.620429057,-4.463339898,2
4.670489396,-4.173861597,2
-2.65018388,-6.204108131,0
-5.460624812,4.430691872,0
-1.897891842,5.423156233,1
-0.551768809,-5.616434032,0
2.24641431,-4.842993635,2
-2.563954816,-6.181766825,0
-1.196361486,-5.79122201,0
1.063766388,5.203566371,1
-2.002289652,2.281822748,1
-5.479598287,4.436066041,0
3.477470022,-0.365003755,2
-4.1543409,3.753577011,0
-4.679842564,3.604862845,0
-2.492028624,0.061751247,0
-2.031160348,5.38524198,1
-4.224339648,1.65889016,0
-2.243129179,2.215428642,0
6.259036654,1.45170198,1
-0.323913472,-1.403224381,2
-4.611002327,2.590457296,0
-4.688070976,2.569211182,0
-4.447231448,2.635605288,0
-4.202618269,1.68051621,0
-4.468475424,2.644453608,0
-0.88137331,4.669136124,1
-1.860495951,-3.91312719,0
-5.192023991,3.464840894,0
-3.502373649,2.908116451,0
-4.849098188,2.52214961,0
-4.465731758,2.642540028,0
-4.521556431,2.612445594,0
4.885455105,6.253902444,1
1.668815662,-0.861872758,2
-1.418404936,-4.826372606,0
-0.005836804,-2.367215788,0
0.704600298,-1.130597405,2
-3.58265913,2.887223345,0
-1.116000192,2.526153056,1
-0.009560517,2.823174371,1
-2.071606462,2.254394354,0
-4.0798406,1.712626473,0
-3.004462198,1.99605167,0
1.457025295,4.265882883,1
-2.609785809,1.080659603,0
-4.345145172,1.626519898,0
-1.974530946,2.290970067,1
-4.413680737,3.694117646,0
-3.698967339,-1.309698104,0
-4.585984699,1.560125792,0
-4.583241033,1.558212212,0
-2.661536395,1.053360386,0
-1.84382612,0.252787819,0
-3.696951573,1.802542521,0
-2.902676358,-0.03731212,0
-3.6474689,0.791923487,0
0.481158503,-0.145230707,2
-3.339504466,-2.244050181,0
-2.653608419,1.064733649,0
-2.661536395,1.053360386,0
-2.591362329,1.083937006,0
-2.708575837,1.03778744,0
-4.341844686,0.603476142,0
-1.745217728,1.303363862,0
5.951581428,7.577651932,1
3.806345607,0.770274397,2
0.727482775,0.958728642,1
-2.572686702,-0.987107966,0
2.588612213,-2.671530715,2
-3.547825855,0.809030078,0
-3.816171941,-1.340833721,0
-3.780184824,-0.296034739,0
-3.076642305,0.949914149,0
3.203608882,2.679438297,1
-0.304939997,-1.408598549,2
-3.152983054,-2.185486169,0
0.345269368,1.879664699,1
-3.460871478,-1.241390418,0
-0.96387866,-0.543595341,2
-2.193699852,-4.004370739,0
-4.336236904,3.701937464,0
-1.756014488,-1.794484452,0
-3.94987258,2.773584481,0
-0.158686235,3.816686814,1
-2.624737723,-2.038685584,0
-2.104552311,-3.979168288,0
-2.732308744,-2.067165437,0
-1.672908511,-1.785717069,0
-3.422309187,0.853126611,0
0.542414575,-4.286751377,0
-0.065553683,3.844711563,1
4.300059114,-4.287147453,2
-0.886084699,-2.595111029,0
-2.685269302,-2.05159249,0
-1.694625653,-1.778429321,0
-2.528695599,-2.022813638,0
-0.669405544,-1.495237194,2
4.187052456,-0.172926001,2
0.342405252,-1.220710203,2
-1.299480336,-2.721174614,0
3.232479578,-0.423980935,2
0.623942221,-2.179456618,2
3.350970981,-3.500637145,2
-1.318453811,-2.715800445,0
-2.268018516,-2.971124081,0
2.698749502,-1.608346764,2
-0.968638093,-3.653922386,0
9.36604487,0.232590305,1
-2.701806372,-2.059931697,0
-1.321197477,-2.713886865,0
1.562835284,-1.933592666,2
2.269121469,-0.689557358,2
-1.305517663,-2.708695883,0
2.020398406,4.426841673,1
-0.002536318,-3.390259543,0
0.025222389,-3.381112224,0
-0.603818765,2.666175007,1
0.841218398,3.064539641,1
0.960821791,-3.124683121,2
0.991324163,-3.117449381,2
-2.363892147,-4.038627652,0
0.958078125,-3.122769541,2
3.246870004,3.730394277,1
1.921436234,-2.857193118,2
1.9241799,-2.859106698,2
-2.170819962,-0.873652289,0
2.286255561,3.462904274,1
-1.974704741,-6.020498761,0
-3.201002543,2.987417463,0
-4.231104876,4.785523096,0
2.264362037,-3.799884402,2
-1.487236268,-3.796953108,0
2.047814825,-2.82384821,2
-2.101808644,-3.981081868,0
6.57171482,-2.613937821,2
-0.918854984,-3.640263019,0
-1.042400522,4.622074552,1
4.657378995,7.217330728,1
2.322625703,-4.824895747,2
-3.216000419,5.049484937,1
-1.354272435,-4.812231054,0
-3.790252618,2.826149398,0
-0.258325678,-5.548506282,0
-1.518043314,-4.857379046,0
6.509646128,-3.669758855,2
-1.69371929,3.404985453,1
-4.083871067,4.82233188,0
-4.142812003,3.766184918,0
-0.353512069,4.814349057,1
-1.274335433,-1.661696241,2
-1.703057103,4.440507939,1
6.429661083,-2.666373561,2
-2.154411183,5.351571145,1
-2.286269851,4.266761144,1
-3.012941937,5.116388156,1
0.511056012,5.037053315,1
3.700790352,3.854035169,1
-3.991122604,4.848768976,0
0.420322251,-1.211329812,2
-0.600393161,4.731519883,1
-3.175302977,4.024344415,0
2.027292989,4.417511167,1
-2.055625393,5.36552951,1
4.481701955,6.145508571,1
-2.641574982,4.181217691,1
0.159397258,1.840216803,1
-3.533180695,1.847690513,0
-1.133013834,1.475979906,1
-2.224324197,3.2616861,1
1.928211432,3.365374551,1
-3.406629373,0.858317593,0
-3.165965164,2.988821929,0
-1.180128025,2.498111655,1
3.270985936,-2.49725185,2
-4.148296748,2.728619675,0
2.625712386,4.594888372,1
-0.929950684,1.528983275,1
7.051556572,2.704178744,1
4.549684937,5.127954797,1
-2.309573213,-1.949131784,0
5.90959612,2.376397624,1
3.735323191,0.751563501,2
-3.18146966,0.919520716,0
-1.788483518,0.266307732,0
-1.331822091,1.429427447,1
-1.827894159,-1.816343573,0
-0.269121373,0.68783206,1
-1.904962808,-1.837589687,0
-2.60648956,0.02870205,0
-2.325682573,1.156617285,0
-0.382856996,-1.417978939,2
-2.808041484,-0.015936829,0
-1.580160049,-1.759279973,0
5.739956407,1.292096736,1
2.276016052,-0.698887863,2
-2.161181713,-0.884896374,0
-2.469752076,-2.00805908,0
-1.797268749,0.251786245,0
-1.584310966,-1.751863047,0
6.065743451,-3.78915633,2
-2.198578669,-0.882799608,0
-1.052476206,-0.577449362,0
-2.331847175,-0.920713861,0
-2.223427803,-0.904099731,0
0.015159262,-0.272827936,2
0.711197033,-3.205598714,2
-2.572686702,-0.987107966,0
-1.622873256,-3.846380076,0
6.697277189,1.57015189,1
-3.333591192,3.989269113,0
-1.00590993,-0.563436988,2
-0.177660776,-5.512125674,0
3.42212534,-1.406016222,2
-1.408160759,-0.678480318,0
-0.233356093,-2.424917678,0
-1.407051357,-2.749654467,0
-0.302196331,-1.410512129,2
0.223305333,-1.261797964,2
-1.595839863,-1.764470955,0
-1.988073021,-1.875270868,0
5.830520611,-0.742075166,2
-2.198410176,-1.934431235,0
-2.410249651,-1.986942143,0
-0.246676331,-2.433609893,0
-0.47419562,-2.491311784,0
-0.434908017,-2.469556557,0
5.827776945,-0.740161586,2
-0.443693248,-2.484078045,0
2.315303656,-0.677132636,2
-0.758857758,-2.573631844,0
2.876313784,-1.552945985,2
-0.27992237,-2.438930053,0
-1.16621183,-2.683260361,0
0.522408527,-2.220415202,2
-1.277203787,-4.790984941,0
-0.698021506,-1.507532739,2
1.655579079,-1.89325572,2
-0.27992237,-2.438930053,0
-0.767785228,-1.537890715,2
-1.688413008,-3.855018282,0
-0.773502918,-3.612292279,0
-1.256769209,-1.661567064,2
1.665217328,-1.904499806,2
-0.758857758,-2.573631844,0
-1.407051357,-2.749654467,0
-0.518018231,-2.507237738,0
-0.82054236,-3.627865226,0
0.204500351,-2.308055422,0
7.522434629,-0.289795157,2
-1.16621183,-2.683260361,0
-1.700494488,-2.817582216,0
0.204500351,-2.308055422,0
